area,42.1,km2
population,31624,
growth rate,0.6,
residing rate,1,
dwelling occupancy,2.2,
percent single detached,0.518,
percent duplex,0.037,
percent row house,0.1,
percent small apartment,0.289,
percent large apartment,0.056,
residential unit size,1900,sqft
avg lot size single family,0.0776,ha
avg lot coverage single family,0.43,
avg lot size duplex,0.06,ha
avg lot coverage duplex,0.45,
avg lot size row house,0.2583,ha
avg lot coverage row house,0.7,
floor area ratio row house,1.38,
avg lot size small apartment,0.18,ha
avg lot coverage small apartment,0.7,
floor area ratio small apartment,1.38,
avg lot size large apartment,0.18,ha
avg lot coverage large apartment,0.63,
floor area ratio large apartment,1.6,
garden irrigation rate,10,gal/sqft/year
laundry frequency,11.25,per mo/capita
laundry water efficiency,104.6,L/load
hot laundry ratio,0.28,
laundry energy efficiency,1.49,kWh/load
laundry water heating ratio,0.92,
standby energy loss rate,0.007536,kWh/L hot water
faucet frequency,246.321,min/mo/capita
faucet water efficiency,7.6,L/min
faucet energy efficiency,0.0449,kWh/L
hot faucet ratio,0.727,
toilet frequency,153.5705,flush/mo/capita
toilet water efficiency,10.7,L/flush
dishwasher frequency,3.041,wash/mo/capita
dishwasher water efficiency,25.4,L/cycle
hot dishwasher ratio,1,
dishwasher energy efficiency,3.05502,kWh/hot cycle
dishwasher heating energy ratio,0.88,
shower frequency,22.8075,per mo/capita
shower water efficiency,10.8,L/min
shower duration,8.2,min/shower
shower energy efficiency,0.044879,kWh/L
hot shower ratio,0.782,
leakage and others rate,0.13,
unit collection energy,0.004186,kWh/L
unit treatment energy,0.00182,kWh/L
unit distribution energy,0.002,kWh/L
unit waste water transport energy,0.0006,kWh/L
unit wastewater treat energy,0.0002,kWh/L
recycling efficiency,0.95,
park irrigation rate,12,gal/sqft/year
initial park land,108.98,ha
park landuse change rate,0.00405,ha/capita
golf and parks irrigation reduction factor,0.5,
avg lot size commercial,0.31,ha
avg lot coverage commercial,0.61,
floor area ratio commercial,2,
avg lot size institutional,0.73,ha
avg lot coverage institutional,0.73,
floor area ratio institutional,3.6,
avg lot size industry,1.63,ha
avg lot coverage industry,0.9,
floor area ratio industry,3,
total commercial floor space,4912941,sqft
restaurant area,0.07,%
office area,0.38,%
supermarket area,0.55,%
restaurant growth rate,0.6,%/year
office growth rate,0.6,%/year
supermarket growth rate,0.6,%/year
initial industry area,1793247,sqft
industry growth rate,0.6,%/year
initial hotel rooms,1783,rooms
hotel growth rate,0.6,%/year
initial hospital beds,129,
hospital growth rate,0.6,%/year
initial school students,4970,
school growth rate,0.6,%/year
floor space per room,290,sqft/room
floor space per bed,460,sqft/bed
floor space per student,144,sqft/student
restaurant laundry frequency,0.0407,cycle/sqft/mo
hotel laundry frequency,34.36,cycles/room/mo
office laundry frequency,0,
hospital laundry frequency,34.92,cycles/bed/mo
industry laundry frequency,0,
school laundr frequency,0.06241,cycle/student/mo
supermarket laundry frequency,0.01827,cycle/sqft/mo
nonresi laundry water efficiency,104.6,L/cycle
restaurant faucet duration,0.25907,min/sqft/mo
hotel faucet duration,52.8585,min/room/mo
